accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude
2024-01-20,1:08:00 PM,субота,місто,Львів,Сихівський,вулиця,Стрийська,45,null,зіткнення бокове,"порушення правил маневрування, порушення правил проїзду перехресть",5,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,49.806862,24.019042
2024-01-20,1:05:00 PM,субота,місто,Львів,Франківський,вулиця,Наукова,55,null,наїзд на пішохода - на регульованому пішохідному переході,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,null,null,null,null,49.805076,23.985938
2024-01-23,8:31:00 AM,вівторок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",1,null,зіткнення лобове,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.869788,24.027228
2024-01-23,9:45:00 AM,вівторок,місто,Львів,Сихівський,вулиця,Демнянська,4,null,зіткнення з задньою частиною тз,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.79946,24.030849
2024-02-16,10:20:00 AM,п'ятниця,місто,Львів,Галицький,вулиця,Папарівка,14,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.851678,24.037018
2024-01-12,6:26:00 PM,п'ятниця,місто,Львів,Франківський,вулиця,Київська,31,null,зіткнення з задньою частиною тз,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.833678,24.007133
2024-02-09,9:40:00 PM,п'ятниця,місто,Львів,Сихівський,вулиця,Зубрівська,77а,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.794449,24.059941
2024-01-18,5:50:00 PM,четвер,місто,Львів,Шевченківський,вулиця,Шевченка Т.,80,null,наїзд на пішохода - на нерегульованому пішохідному переході,неочікуваний вихід на проїжджу частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.84678,24.004472
2024-01-26,6:45:00 PM,п'ятниця,село,Гряда,Шевченківський,null,null,null,М09,зіткнення з задньою частиною тз,порушення швидкості руху,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,49.933147,24.051315
2024-01-28,2:30:00 PM,неділя,місто,Львів,Залізничний,вулиця,Кульпарківська,111,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду нерегульованих пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.813187,23.983305
2024-02-03,8:01:00 PM,субота,місто,Львів,Франківський,вулиця,Наукова,112,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.80491,23.98664
2024-01-29,10:40:00 PM,понеділок,місто,Львів,Сихівський,вулиця,Навроцького В.,33,null,зіткнення лобове,порушення правил маневрування,3,без ушкоджень,тяжко травмований,тяжко травмований,null,null,null,null,null,null,null,null,49.811134,24.051808
2024-02-14,11:46:00 PM,середа,місто,Львів,Шевченківський,вулиця,Липинського В.,54б,null,зіткнення з задньою частиною тз,"перевищення безпечної швидкості, недодержання дистанції",4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.865279,24.0447
2024-02-15,2:35:00 PM,четвер,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",14,null,зіткнення з задньою частиною тз,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.870421,24.033483
2024-01-29,6:45:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,null,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.85778851370144,24.04705564620365
2024-01-29,4:35:00 PM,понеділок,місто,Львів,Галицький,вулиця,Митрополита Андрея,13,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.836062,24.009354
2024-01-30,12:20:00 PM,вівторок,місто,Львів,Франківський,вулиця,"Чупринки Т., ген.",115,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш. переходу,неочікуваний вихід на проїжджу частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.823224,24.000299
2024-02-08,5:25:00 PM,четвер,місто,Львів,Залізничний,вулиця,Патона Є.,7а,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.822619,23.966063
2024-01-23,8:12:00 AM,вівторок,місто,Львів,Шевченківський,вулиця,Жовківська,1,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш. переходу,перехід пішоходів у невстановленому місці,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,null,null,null,null,49.852242,24.032379
2024-01-16,6:52:00 PM,вівторок,місто,Львів,Галицький,вулиця,Озаркевича Є.,12,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.838083,24.012364
2024-02-11,9:50:00 AM,неділя,місто,Львів,Галицький,вулиця,Болгарська,null,вул. Болгарська - вул. Вітовського Д.,зіткнення бокове,порушення правил проїзду перехресть,4,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,49.830173,24.023718
2024-01-16,9:33:00 AM,вівторок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,31,null,наїзд на пішохода - на регульованому пішохідному переході,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.845829,24.007021
2024-01-23,2:39:00 PM,вівторок,місто,Львів,Франківський,вулиця,Окружна,null,вул. Окружна - вул. Любінська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.827107,23.982747
2024-02-08,7:01:00 PM,четвер,місто,Львів,Сихівський,вулиця,Трильовського К.,null,вул. Трильовського К. - вул. Коломийська,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду нерегульованих пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.787693,24.066389
2024-02-10,4:09:00 PM,субота,місто,Львів,Франківський,площа,"Липнева, пл.",3,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід пішоходів у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.834401,24.002262
2024-02-01,1:03:00 PM,четвер,місто,Львів,Галицький,вулиця,Городоцька,35,null,наїзд на пішохода - на нерегульованому пішохідному переході,"порушення правил проїзду пішохідних переходів, керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.843058,24.021081
2024-01-17,11:20:00 AM,середа,місто,Львів,Сихівський,проспект,"Святого Івана Павла ІІ, просп.",4б,null,зіткнення з задньою частиною тз,недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.799899,24.026504
2024-01-20,5:45:00 PM,субота,місто,Львів,Сихівський,вулиця,Пасічна,167,null,зіткнення з задньою частиною тз,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.807063,24.065643
2024-01-23,7:01:00 AM,вівторок,місто,Львів,Шевченківський,вулиця,Жовківська,28,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.858291,24.038038
2024-02-05,6:30:00 PM,понеділок,місто,Львів,Залізничний,вулиця,Любінська,96,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.823619,23.976245
2024-01-25,7:15:00 AM,четвер,місто,Львів,Галицький,вулиця,Городоцька,42,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш. переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.840695,24.013399
2024-02-07,8:40:00 PM,середа,місто,Львів,Залізничний,вулиця,Головатого А.,17,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід пішоходів у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.826055,23.968064
2024-02-06,1:34:00 PM,вівторок,місто,Львів,Франківський,вулиця,Володимира Великого,null,вул. Володимира Великого - вул. Янева В.,перекидання тз,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.808998,24.011747
2024-01-17,11:45:00 PM,середа,місто,Львів,Галицький,вулиця,Джерельна,28,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.848267,24.020303
2024-02-07,7:54:00 PM,середа,місто,Львів,Сихівський,вулиця,Гориня М.,15а,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.787814,24.05286
2024-01-16,3:30:00 PM,вівторок,місто,Львів,Франківський,вулиця,Володимира Великого,null,вул. Володимира Великого - вул. Янева В.,зіткнення бокове,порушення правил проїзду перехресть,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.809002,24.011768
2024-01-13,9:01:00 PM,субота,місто,Львів,Франківський,вулиця,Стрийська,204,null,зіткнення бокове,порушення правил проїзду перехресть,4,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,49.797874,24.016945
2024-01-16,8:55:00 AM,вівторок,місто,Львів,Шевченківський,вулиця,Замарстинівська,76,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.856554,24.027931
2024-01-27,8:45:00 PM,субота,місто,Львів,Залізничний,вулиця,Сяйво,9,null,зіткнення бокове,"виїзд на смугу зустрічного руху, керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.836149,23.976803
2024-02-08,8:02:00 AM,четвер,місто,Львів,Личаківський,вулиця,Левицького К.,19,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.835232,24.037893
2024-01-23,6:55:00 PM,вівторок,місто,Львів,Франківський,вулиця,Київська,null,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.83330243738981,24.00926705484132
2024-01-29,6:10:00 PM,понеділок,місто,Львів,Галицький,вулиця,Січових Стрільців,null,"вул. Січових Стрільців - вул. Гнатюка В., акад.",наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.841353,24.025873
2024-02-06,11:15:00 AM,вівторок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,359,null,наїзд на пішохода - на регульованому пішохідному переході,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.868132,23.951998
2024-01-28,5:25:00 PM,неділя,місто,Львів,Шевченківський,вулиця,Шевченка Т.,19,null,наїзд на пішохода - на нерегульованому пішохідному переході,неочікуваний вихід на проїжджу частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.84541,24.008276
2024-01-18,1:17:00 PM,четвер,місто,Львів,Сихівський,вулиця,Навроцького В.,23,null,наїзд на інші види перешкод,інші порушення правил руху,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.811283,24.052811
2024-01-19,5:01:00 PM,п'ятниця,місто,Львів,Франківський,вулиця,Русових,3,null,зіткнення лобове,"перевищення безпечної швидкості, недодержання дистанції, керування транспортним засобом у нетверезому стані",4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.834152,24.007597
2024-01-24,11:30:00 AM,середа,місто,Львів,Шевченківський,вулиця,Замарстинівська,54,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.854217,24.028215
2024-02-13,7:20:00 PM,вівторок,місто,Львів,Галицький,площа,"Старий Ринок, пл.",1,null,зіткнення бокове,"порушення правил проїзду перехресть, керування транспортним засобом у нетверезому стані, невиконання вимог сигналів регулювання",3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.846503,24.029535
2024-02-15,9:45:00 PM,четвер,місто,Львів,Галицький,площа,"Катедральна, пл.",2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення швидкості руху,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.840992,24.030163
2024-01-12,3:02:00 PM,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,76,null,зіткнення лобове,порушення правил маневрування,3,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.838636,24.008045
2024-01-11,9:32:00 AM,четвер,місто,Львів,Шевченківський,вулиця,Шевченка Т.,null,"Магазин ""Сільпо""",падіння пасажира,"порушення правил маневрування, невиконання вимог сигналів регулювання",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.86848398426019,23.951060215342203
2024-02-04,3:28:00 AM,неділя,місто,Львів,Галицький,вулиця,Зелена,8,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід пішоходів у невстановленому місці,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.821151,24.055499
2024-02-02,5:51:00 PM,п'ятниця,місто,Львів,Сихівський,вулиця,Запорізька,27,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.814457,24.03447
2024-04-17,5:44:00 PM,середа,місто,Львів,Франківський,вулиця,Стрийська,204,null,зіткнення з задньою частиною тз,"перевищення безпечної швидкості, недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.798532,24.017074
2024-04-05,9:54:00 PM,п'ятниця,місто,Львів,Сихівський,проспект,"Святого Івана Павла ІІ, просп.",23,null,наїзд на велосипедиста - поза межами велосипедної доріжки,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.80171,24.025233
2024-04-21,6:30:00 PM,неділя,місто,Львів,Сихівський,вулиця,Козельницька,null,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.81461427594241,24.025569110666122
2024-04-09,7:15:00 PM,вівторок,місто,Львів,Шевченківський,вулиця,Липинського В.,44,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.863754,24.033907
2024-04-01,1:20:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,Липинського В.,50б,null,зіткнення лобове,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.864439,24.037426
2024-04-11,10:39:00 AM,четвер,місто,Львів,Залізничний,вулиця,Городоцька,99,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.838851,24.008673
2024-04-22,5:58:00 PM,понеділок,місто,Львів,Галицький,вулиця,Коперника М.,null,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.8368721676146,24.023923814355452
2024-04-25,3:26:00 PM,четвер,місто,Львів,Залізничний,вулиця,Кульчицької О.,12,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш. переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.818206,23.975971
2024-04-26,9:50:00 PM,п'ятниця,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,null,вул. Хмельницького Б. - вул. Грінченка Б.,зіткнення з задньою частиною тз,порушення правил проїзду перехресть,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.869828019617515,24.057139060960694
2024-04-29,4:01:00 PM,понеділок,місто,Львів,Залізничний,вулиця,Шевченка Т.,31,null,зіткнення з задньою частиною тз,"порушення правил маневрування, порушення правил обгону, виїзд на смугу зустрічного руху",3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.845877,24.006849
2024-03-28,11:14:00 PM,четвер,місто,Львів,Шевченківський,вулиця,Грінченка Б.,1,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил під час руху заднім ходом,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.87095497189726,24.054571942175617
2024-04-16,11:47:00 PM,вівторок,місто,Львів,Галицький,вулиця,Вітовського Д.,null,null,наїзд на пішохода - пішохід на зупинці громадського транспорту,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.830554,24.022443
2024-04-29,8:04:00 AM,понеділок,місто,Львів,Франківський,вулиця,Пулюя І.,24,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.801378,23.98331
2024-04-26,10:32:00 PM,п'ятниця,місто,Львів,Галицький,вулиця,Зелена,24,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.821161,24.055451
2024-04-19,4:20:00 PM,п'ятниця,місто,Львів,Сихівський,вулиця,Луганська,3,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.807732565037085,24.052562129992076
2024-04-13,5:23:00 PM,субота,місто,Львів,Франківський,вулиця,Наукова,64,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.804574,23.992655
2024-04-07,12:10:00 PM,неділя,місто,Львів,Франківський,вулиця,Княгині Ольги,null,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.823543,24.007078
2024-04-16,2:06:00 PM,вівторок,місто,Львів,Франківський,вулиця,Наукова,29,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.804387,23.99295
2024-04-01,11:25:00 PM,понеділок,місто,Львів,Сихівський,вулиця,Стрийська,47,null,"наїзд на дорожний знак, бордюрний камінь","порушення правил маневрування, недодержання дистанції",1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.801281,24.017969
2024-04-09,2:35:00 PM,вівторок,місто,Львів,Сихівський,вулиця,Зелена,204,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.811404,24.061003
2024-04-25,1:22:00 PM,четвер,місто,Львів,Шевченківський,вулиця,Єрошенка В.,null,вул. Єрошенка В. - вул. Золота,зіткнення бокове,порушення правил обгону,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.850657,24.002445
2024-04-29,4:01:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,128,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.850111,23.993958
2024-04-11,6:27:00 PM,четвер,місто,Львів,Залізничний,вулиця,Городоцька,302,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.825494,23.912344
2024-04-03,10:23:00 AM,середа,місто,Львів,Сихівський,вулиця,Стрийська,null,вул. Стрийська - вул. Мікльоша К.,зіткнення лобове,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.783748,24.014214
2024-04-20,5:45:00 AM,субота,місто,Львів,Сихівський,проспект,"Святого Івана Павла ІІ, просп.",null,null,"наїзд на опори (ЛЕП, телефонних та телеграфних ліній, рекламоносіїв, щогли антен моб. зв'язку, тощо)",порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.801677,24.045644
2024-05-01,4:20:00 PM,середа,місто,Львів,Галицький,проспект,"Свободи, просп.",null,просп. Свободи - вул. Дорошенка П.,зіткнення з задньою частиною тз,"порушення правил маневрування, невиконання вимог сигналів регулювання, порушення правил проїзду перехресть",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.840508,24.027835
2024-04-29,8:09:00 AM,понеділок,місто,Львів,Франківський,вулиця,Стрийська,202,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.798677,24.015904
2024-04-03,8:29:00 PM,середа,місто,Львів,Личаківський,вулиця,Личаківська,null,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.836183,24.06714
2024-04-20,3:50:00 PM,субота,місто,Львів,Залізничний,вулиця,Щирецька,null,null,зіткнення з задньою частиною тз,порушення правил маневрування,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.8094,23.98062
2024-04-21,6:35:00 AM,неділя,місто,Львів,Шевченківський,вулиця,Замарстинівська,186,null,наїзд на інші види перешкод,"порушення правил маневрування, перевищення безпечної швидкості",1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.871873,24.017613
2024-04-24,3:59:00 PM,середа,місто,Львів,Галицький,вулиця,Замарстинівська,7,null,зіткнення лобове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.847866,24.027958
2024-05-01,10:01:00 PM,середа,місто,Львів,Залізничний,вулиця,Городоцька,253,null,зіткнення бокове,недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.830467,23.967592
2024-04-05,8:15:00 AM,п'ятниця,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",62,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш. переходу,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.795872,24.054099
2024-04-05,2:50:00 PM,п'ятниця,місто,Львів,Шевченківський,вулиця,Замарстинівська,233,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.874155,24.012991
2024-04-29,2:30:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,Липинського В.,48,null,зіткнення з задньою частиною тз,недодержання дистанції,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.863153,24.032153
2024-04-26,9:06:00 AM,п'ятниця,місто,Львів,Франківський,вулиця,"Єфремова С., акад.",null,"вул. Єфремова С., акад. - вул. Мельника А.",зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.830443,24.004371
2024-04-16,1:20:00 PM,вівторок,місто,Львів,Сихівський,проспект,"Святого Івана Павла ІІ, просп.",4б,null,наїзд на пішохода - на нерегульованому пішохідному переході,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.799494,24.030737
2024-04-17,11:32:00 PM,середа,місто,Львів,Личаківський,вулиця,Личаківська,16,null,зіткнення з задньою частиною тз,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.839847,24.039958
2024-04-07,12:41:00 PM,неділя,місто,Львів,Франківський,вулиця,Кульпарківська,73,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.825287,23.989763
2024-04-08,12:30:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,76,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.853096,24.035699
2024-04-08,3:12:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,Липинського В.,null,null,падіння пасажира,порушення правил перевезення пасажирів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.863017955582215,24.031283612451052
2024-04-27,5:04:00 PM,субота,місто,Львів,Личаківський,вулиця,Личаківська,232,null,зіткнення лобове,невиконання вимог сигналів регулювання,3,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.832862,24.090502
2024-04-09,7:24:00 PM,вівторок,місто,Винники,Личаківський,вулиця,Стрілецька,4,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,"порушення правил маневрування, недодержання дистанції",2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.813069,24.142526
2024-04-07,11:02:00 AM,неділя,місто,Львів,Шевченківський,вулиця,Єрошенка В.,null,вул. Єрошенка В. - вул. Золота,зіткнення з задньою частиною тз,"недодержання дистанції, порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.850657,24.002359
2024-05-01,11:10:00 AM,середа,місто,Львів,Залізничний,вулиця,Повітряна,null,вул. Повітряна - вул. Суботівська,зіткнення лобове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.844995,23.966726
2024-04-21,12:14:00 PM,неділя,місто,Львів,Личаківський,вулиця,Богданівська,44,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,"порушення правил маневрування, порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.858685,24.07259
2024-04-02,2:40:00 PM,вівторок,місто,Львів,Залізничний,вулиця,Шевченка Т.,17,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.844749,24.009236
2024-04-30,1:01:00 PM,вівторок,місто,Львів,Франківський,вулиця,Володимира Великого,125,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.811861,23.985536
2024-04-03,3:42:00 PM,середа,місто,Львів,Сихівський,вулиця,Максимовича М.,1,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.794188,24.01663
2024-04-11,3:20:00 PM,четвер,місто,Винники,Личаківський,вулиця,Галицька,57г,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.817361,24.144081
